Zip Code,Median Age,Population,U.S. Born,Foreign Born,Foreign Percentage,Household Income,City,County,Latitude,Longitude
07059,45.7,15982.0,12257.0,3546.0,0.22187460893505193,154429.0,Warren,Somerset,40.633652000000005,-74.5008
07060,34.2,46270.0,26547.0,18645.0,0.40296088178085154,57959.0,Plainfield,Union,40.620102,-74.42481
07062,37.0,12793.0,8810.0,3544.0,0.27702649886656766,67664.0,Plainfield,Union,40.631252,-74.40383
07063,34.9,14031.0,8648.0,5021.0,0.3578504739505381,72440.0,Plainfield,Union,40.604252,-74.44612
07064,40.6,4150.0,3314.0,723.0,0.17421686746987952,81912.0,Port Reading,Middlesex,40.569503999999995,-74.24774000000001
07065,37.7,29471.0,21278.0,7393.0,0.2508567744562451,69932.0,Rahway,Union,40.607103,-74.28099
07066,43.4,15595.0,13268.0,2127.0,0.13638986854761143,100000.0,Clark,Union,40.620336,-74.30934
07067,42.3,17751.0,13509.0,3936.0,0.22173398681764409,103205.0,Colonia,Middlesex,40.591653,-74.31341
07068,48.8,5907.0,5001.0,887.0,0.15016082613847978,110208.0,Roseland,Essex,40.821799,-74.30476999999999
07069,44.0,6133.0,5044.0,1089.0,0.17756399804337192,122434.0,Watchung,Somerset,40.641207,-74.44369499999999
07070,40.2,18622.0,13452.0,4975.0,0.2671571259800236,93787.0,Rutherford,Bergen,40.828922,-74.11064
07071,43.1,21937.0,15360.0,6163.0,0.28094087614532526,73218.0,Lyndhurst,Bergen,40.808415999999994,-74.12111
07072,40.1,6268.0,4300.0,1926.0,0.307275047862157,89419.0,Carlstadt,Bergen,40.836555,-74.08466
07073,36.2,9433.0,6295.0,2899.0,0.30732534718541293,77400.0,East Rutherford,Bergen,40.830158000000004,-74.09707
07074,43.7,2783.0,1630.0,1078.0,0.38735177865612647,59700.0,Moonachie,Bergen,40.841668,-74.059
07075,41.2,8350.0,6702.0,1573.0,0.18838323353293412,102283.0,Wood Ridge,Bergen,40.847638,-74.08754
07076,43.3,24339.0,20062.0,3893.0,0.15994905296026954,117765.0,Scotch Plains,Union,40.637152,-74.37493
07077,40.6,2437.0,2015.0,355.0,0.14567090685268774,76389.0,Sewaren,Middlesex,40.553971000000004,-74.25938000000001
07078,42.2,13097.0,10277.0,2632.0,0.20096205237840728,250001.0,Short Hills,Essex,40.73915,-74.32749
07079,33.5,16503.0,13968.0,2364.0,0.14324668242137792,121637.0,South Orange,Essex,40.74765,-74.25881
07080,41.1,24106.0,17617.0,6094.0,0.25280013274703395,91250.0,South Plainfield,Middlesex,40.580703,-74.41401
07081,44.4,17528.0,13150.0,4007.0,0.22860565951620265,110547.0,Springfield,Union,40.701801,-74.32216
07082,46.0,5214.0,4256.0,881.0,0.1689681626390487,116615.0,Towaco,Morris,40.92241,-74.34625
07083,41.7,55393.0,36939.0,17243.0,0.3112848193815103,81359.0,Union,Union,40.695401000000004,-74.26933000000001
07086,36.9,14268.0,8938.0,4948.0,0.3467900196243342,84841.0,Weehawken,Hudson,40.769796,-74.022351
07087,36.0,69954.0,25623.0,41263.0,0.5898590502330102,43407.0,Union City,Hudson,40.767751000000004,-74.0302
07088,44.8,3305.0,2804.0,451.0,0.13645990922844176,50299.0,Vauxhall,Union,40.718401,-74.28416
07090,41.8,30591.0,26622.0,3455.0,0.11294171488346245,159923.0,Westfield,Union,40.649202,-74.34567
07092,48.6,6907.0,5741.0,1038.0,0.15028232228174315,129405.0,Mountainside,Union,40.680301,-74.35601
07093,35.2,65078.0,25018.0,38335.0,0.5890623559421002,51509.0,West New York,Hudson,40.7895,-74.01223
07094,40.2,19279.0,11982.0,6875.0,0.3566056330722548,99883.0,Secaucus,Hudson,40.7885,-74.06
07095,37.4,19511.0,12859.0,6229.0,0.3192558044180206,80196.0,Woodbridge,Middlesex,40.557103999999995,-74.28316
07102,32.0,12986.0,9139.0,3229.0,0.24865239488680116,24353.0,Newark,Essex,40.735257,-74.17326
07103,31.3,32610.0,25826.0,5845.0,0.1792394970867832,27859.0,Newark,Essex,40.738501,-74.19507
07104,33.7,51398.0,30382.0,13468.0,0.2620335421611736,36547.0,Newark,Essex,40.767702,-74.16830999999999
07105,34.9,53323.0,21241.0,29777.0,0.5584269452206365,45227.0,Newark,Essex,40.725801000000004,-74.15205999999999
07106,33.2,33140.0,23353.0,9385.0,0.2831925165962583,37421.0,Newark,Essex,40.742251,-74.23006
07107,32.1,37797.0,22634.0,11642.0,0.3080138635341429,30779.0,Newark,Essex,40.760667,-74.1879
07108,31.6,21993.0,18177.0,3208.0,0.1458645932796799,25192.0,Newark,Essex,40.722751,-74.2014
07109,38.8,36344.0,24015.0,11036.0,0.3036539731454986,67782.0,Belleville,Essex,40.7935,-74.16144
07110,41.2,28722.0,22789.0,5350.0,0.1862683657126941,94128.0,Nutley,Essex,40.8196,-74.15876999999999
07111,34.6,54715.0,35780.0,17829.0,0.32585214292241615,39734.0,Irvington,Essex,40.725651,-74.23207
07112,36.1,26016.0,22034.0,3676.0,0.14129766297662977,35765.0,Newark,Essex,40.711651,-74.21303
