ZipCode_Int,City,County,Zip Code Map,Zip Code
8805,Bound Brook,Somerset,View Map,08805
8807,Bridgewater,Somerset,View Map,08807
8808,Broadway,Warren,View Map,08808
8809,Clinton,Hunterdon,View Map,08809
8810,Dayton,Middlesex,View Map,08810
8812,Dunellen,Middlesex,View Map,08812
8816,East Brunswick,Middlesex,View Map,08816
8817,Edison,Middlesex,View Map,08817
8818,Edison,Middlesex,View Map,08818
8820,Edison,Middlesex,View Map,08820
8821,Flagtown,Somerset,View Map,08821
8822,Flemington,Hunterdon,View Map,08822
8823,Franklin Park,Somerset,View Map,08823
8824,Kendall Park,Middlesex,View Map,08824
8825,Frenchtown,Hunterdon,View Map,08825
8826,Glen Gardner,Hunterdon,View Map,08826
8827,Hampton,Hunterdon,View Map,08827
8828,Helmetta,Middlesex,View Map,08828
8829,High Bridge,Hunterdon,View Map,08829
8830,Iselin,Middlesex,View Map,08830
8831,Monroe Township,Middlesex,View Map,08831
8832,Keasbey,Middlesex,View Map,08832
8833,Lebanon,Hunterdon,View Map,08833
8834,Little York,Hunterdon,View Map,08834
8835,Manville,Somerset,View Map,08835
8836,Martinsville,Somerset,View Map,08836
8837,Edison,Middlesex,View Map,08837
8840,Metuchen,Middlesex,View Map,08840
8844,Hillsborough,Somerset,View Map,08844
8846,Middlesex,Middlesex,View Map,08846
8848,Milford,Hunterdon,View Map,08848
8850,Milltown,Middlesex,View Map,08850
8852,Monmouth Junction,Middlesex,View Map,08852
8853,Neshanic Station,Somerset,View Map,08853
8854,Piscataway,Middlesex,View Map,08854
8855,Piscataway,Middlesex,View Map,08855
8857,Old Bridge,Middlesex,View Map,08857
8858,Oldwick,Hunterdon,View Map,08858
8859,Parlin,Middlesex,View Map,08859
8861,Perth Amboy,Middlesex,View Map,08861
8862,Perth Amboy,Middlesex,View Map,08862
8863,Fords,Middlesex,View Map,08863
8865,Phillipsburg,Warren,View Map,08865
8867,Pittstown,Hunterdon,View Map,08867
8868,Quakertown,Hunterdon,View Map,08868
8869,Raritan,Somerset,View Map,08869
8870,Readington,Hunterdon,View Map,08870
8871,Sayreville,Middlesex,View Map,08871
8872,Sayreville,Middlesex,View Map,08872
8873,Somerset,Somerset,View Map,08873
8875,Somerset,Somerset,View Map,08875
8876,Somerville,Somerset,View Map,08876
8879,South Amboy,Middlesex,View Map,08879
8880,South Bound Brook,Somerset,View Map,08880
8882,South River,Middlesex,View Map,08882
8884,Spotswood,Middlesex,View Map,08884
8885,Stanton,Hunterdon,View Map,08885
8886,Stewartsville,Warren,View Map,08886
8887,Three Bridges,Hunterdon,View Map,08887
8888,Whitehouse,Hunterdon,View Map,08888
8889,Whitehouse Station,Hunterdon,View Map,08889
8890,Zarephath,Somerset,View Map,08890
8896,Raritan,Somerset,View Map,08896
8899,Edison,Middlesex,View Map,08899
8901,New Brunswick,Middlesex,View Map,08901
8902,North Brunswick,Middlesex,View Map,08902
8903,New Brunswick,Middlesex,View Map,08903
8904,Highland Park,Middlesex,View Map,08904
8905,New Brunswick,Middlesex,View Map,08905
8906,New Brunswick,Middlesex,View Map,08906
8922,New Brunswick,Middlesex,View Map,08922
8933,New Brunswick,Middlesex,View Map,08933
8988,New Brunswick,Middlesex,View Map,08988
8989,New Brunswick,Middlesex,View Map,08989
